ss1	ss2	sl1	sl2	ls1	ls2	ll1	LL2	ss	sl	ls	ll
8	5	4	6	10	6	10	7	13	10	16	17
11	14	0	13	12	14	13	14	25	13	26	27
12	5	9	7	8	10	8	10	17	16	18	18
8	8	9	9	9	8	8	11	16	18	17	19
11	10	10	8	11	10	8	11	21	18	21	19
9	10	0	7	9	10	10	13	19	7	19	23
12	12	12	12	13	10	10	15	24	24	23	25
9	8	5	10	8	7	6	9	17	15	15	15
10	11	8	10	9	8	14	13	21	18	17	27
9	8	11	9	8	10	5	10	17	20	18	15
12	12	3	12	10	15	14	15	24	15	25	29
9	8	6	5	13	6	10	10	17	11	19	20
5	4	0	5	3	3	4	5	9	5	6	9
5	10	6	4	12	10	11	13	15	10	22	24
9	9	13	10	13	8	11	11	18	23	21	22
9	11	5	12	6	10	11	11	20	17	16	22
9	7	8	10	11	6	11	12	16	18	17	23
9	9	12	12	15	10	9	13	18	24	25	22
11	10	8	12	11	10	12	9	21	20	21	21
11	8	10	10	11	10	9	10	19	20	21	19
9	8	7	11	9	6	11	10	17	18	15	21
10	9	10	8	7	8	9	10	19	18	15	19
9	10	5	10	10	10	12	7	19	15	20	19
8	7	0	8	12	6	8	11	15	8	18	19
10	7	8	7	13	8	11	9	17	15	21	20
10	9	10	11	12	10	10	9	19	21	22	19
9	10	12	13	12	9	9	11	19	25	21	20
